Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
20;13900;"Cell Research";journal;"17487838, 10010602";9,506;Q1;216;144;457;4762;7465;238;12,65;33,07;37,70;0;28;United Kingdom;Western Europe;"Nature Publishing Group";"1996-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
21;18606;"Molecular Cell";journal;"10974164, 10972765";9,332;Q1;443;388;1261;25235;14868;1093;10,75;65,04;38,89;0;77;United States;Northern America;"Cell Press";"1997-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
22;19014;"Nature Cell Biology";journal;"14764679, 14657392";8,913;Q1;409;240;556;9691;6540;421;9,91;40,38;40,14;2;54;United Kingdom;Western Europe;"Nature Publishing Group";"1999-2023";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
23;21101101215;"Cell Genomics";journal;"2666979X";8,807;Q1;20;140;108;9664;954;82;8,83;69,03;38,63;1;42;United States;Northern America;"Cell Press";"2021-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
24;21100888816;"Signal Transduction and Targeted Therapy";journal;"20593635, 20959907";8,737;Q1;117;457;1105;58854;23888;665;20,66;128,78;41,19;2;263;United Kingdom;Western Europe;"Springer Nature";"2016-2023";"Cancer Research (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
25;12429;"Molecular Cancer";journal;"14764598";8,222;Q1;196;190;525;23895;14728;449;23,31;125,76;38,33;0;182;United Kingdom;Western Europe;"BioMed Central Ltd";"2002-2023";"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
26;21100773752;"Nature Microbiology";journal;"20585276";7,982;Q1;138;257;627;13099;9427;468;12,68;50,97;39,74;2;86;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2023";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
27;21100831443;"Nature Biomedical Engineering";journal;"2157846X";7,951;Q1;116;201;441;11275;8533;347;20,56;56,09;31,96;1;53;United States;Northern America;"Nature Publishing Group";"2017-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
28;26038;"Endocrine Reviews";journal;"19457189, 0163769X";7,922;Q1;307;40;95;7025;2339;95;22,37;175,63;43,13;0;25;United States;Northern America;"The Endocrine Society";"1980-2023";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
29;21100420583;"JAMA Oncology";journal;"23742445, 23742437";7,843;Q1;173;349;1225;6132;9916;523;7,62;17,57;39,66;8;257;United States;Northern America;"American Medical Association";"2015-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
30;5300152732;"Cell Host and Microbe";journal;"19346069, 19313128";7,760;Q1;241;207;616;11553;8661;459;12,71;55,81;42,61;1;91;United States;Northern America;"Cell Press";"2007-2023";"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
31;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";7,555;Q1;298;28;109;4809;2473;104;18,76;171,75;37,89;0;9;United States;Northern America;"Annual Reviews Inc.";"1996-2023";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
32;17900156736;"Journal of Hematology and Oncology";journal;"17568722";7,522;Q1;144;115;531;11441;12065;413;20,83;99,49;40,48;0;98;United Kingdom;Western Europe;"BioMed Central Ltd";"2008-2023";"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
33;5800207366;"Nature Protocols";journal;"17542189";7,419;Q1;303;152;493;9025;8033;488;13,03;59,38;36,05;0;32;United Kingdom;Western Europe;"Nature Publishing Group";"2006-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
34;21706;"Annual Review of Genetics";journal;"15452948, 00664197";7,366;Q1;200;19;71;3057;844;71;8,94;160,89;46,55;0;4;United States;Northern America;"Annual Reviews Inc.";"1970-2022";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
35;17700156440;"Nature Reviews Endocrinology";journal;"17595037, 17595029";7,274;Q1;203;148;480;7209;5908;227;10,85;48,71;43,22;0;56;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
36;40944;"Genome Biology";journal;"14747596";7,197;Q1;301;288;896;20374;10700;865;9,65;70,74;39,38;0;56;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2023";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
37;21100932733;"Nature Metabolism";journal;"25225812";7,192;Q1;75;226;515;10360;6320;395;10,84;45,84;40,83;0;71;Germany;Western Europe;"Springer Berlin";"2019-2023";"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
38;12394;"Nature Structural and Molecular Biology";journal;"15459993, 15459985";7,151;Q1;303;258;501;11896;4477;388;8,31;46,11;33,40;1;33;United Kingdom;Western Europe;"Nature Publishing Group";"1998, 2004-2023";"Molecular Biology (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
39;14204;"Nucleic Acids Research";journal;"03051048, 13624962";7,048;Q1;637;1171;3873;68422;55841;3863;15,17;58,43;39,29;1;240;United Kingdom;Western Europe;"Oxford University Press";"1974-2023";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
