Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
121;12634;"Early Science and Medicine";journal;"13837427, 15733823";0,161;Q3;25;25;79;2448;24;73;0,38;97,92;39,13;0;2;Netherlands;Western Europe;"Brill Academic Publishers";"1996-2023";"History (Q2); History and Philosophy of Science (Q3); Multidisciplinary (Q3); Medicine (miscellaneous) (Q4)";"Arts and Humanities; Medicine; Multidisciplinary"
122;19700166903;"Universitas Scientiarum";journal;"20271352, 01227483";0,161;Q3;15;15;54;781;39;54;0,55;52,07;40,35;0;7;Colombia;Latin America;"Pontificia Universidad Javeriana";"2009-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
123;31728;"Comptes Rendus de L'Academie Bulgare des Sciences";journal;"13101331";0,160;Q3;22;215;648;3550;228;648;0,35;16,51;48,97;0;57;Bulgaria;Eastern Europe;"Bulgarian Academy of Sciences";"1977-1985, 2002, 2007-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
124;5800207374;"Journal of the National Science Foundation of Sri Lanka";journal;"13914588";0,160;Q3;25;57;167;1994;96;155;0,46;34,98;44,59;0;21;Sri Lanka;Asiatic Region;"National Science Foundation of Sri Lanka";"1999-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
125;24197;"Scientific American";journal;"00368733";0,158;Q3;100;0;22;0;8;5;0,00;0,00;0,00;0;0;United States;Northern America;"Scientific American Inc.";"1947-1950, 1958-2020";"Multidisciplinary (Q3)";"Multidisciplinary"
126;21101066734;"Israa University Journal of Applied Science";journal;"25230522";0,154;Q3;3;28;28;874;23;28;0,96;31,21;42,50;0;20;Palestine;Middle East;"Israa University";"2017-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
127;5700165166;"Malaysian Journal of Science";journal;"13943065";0,154;Q3;15;32;81;1127;62;81;0,70;35,22;38,82;0;4;Malaysia;Asiatic Region;"Malaysian Abstracting and Indexing System";"2006-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
128;19700170618;"Maejo International Journal of Science and Technology";journal;"19057873";0,153;Q4;22;23;72;718;47;68;0,63;31,22;34,29;0;3;Thailand;Asiatic Region;"Maejo University";"2009-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
129;21101045271;"International Journal of Advanced and Applied Sciences";journal;"23133724, 2313626X";0,151;Q4;13;299;599;10359;342;599;0,58;34,65;41,39;0;123;Taiwan;Asiatic Region;"Institute of Advanced Science Extension (IASE)";"2019-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
130;21100853929;"International Journal of Systematic Innovation";journal;"20778767, 20777973";0,151;Q4;6;19;58;855;37;58;0,63;45,00;29,55;0;3;Taiwan;Asiatic Region;"The Society of Systematic Innovation";"2010-2023";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Mechanical Engineering (Q4); Multidisciplinary (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
