Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;25451;"Transactions of Tianjin University";journal;"10064982, 19958196";1,502;Q1;30;37;122;2350;832;120;6,14;63,51;30,81;0;23;China;Asiatic Region;"Tianjin Daxue/Tianjin University";"2004-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
12;21100907125;"iScience";journal;"25890042";1,497;Q1;79;2758;4627;179622;23716;4602;4,76;65,13;40,49;10;1107;United States;Northern America;"Elsevier Inc.";"2018-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
13;22367;"Progress in Natural Science: Materials International";journal;"10020071, 17455391";1,025;Q1;81;100;318;6150;1801;315;4,93;61,50;29,97;0;44;China;Asiatic Region;"";"1996-2023";"Materials Science (miscellaneous) (Q1); Multidisciplinary (Q1)";"Materials Science; Multidisciplinary"
14;21101107573;"Global Challenges";journal;"20566646";0,901;Q1;25;101;150;8661;826;147;4,73;85,75;32,00;1;77;United States;Northern America;"John Wiley and Sons Inc.";"2017-2018, 2020-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
15;21100200805;"Scientific Reports";journal;"20452322";0,900;Q1;315;22439;67114;1094778;283579;67062;3,88;48,79;37,49;95;7930;United Kingdom;Western Europe;"Nature Publishing Group";"2011-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
16;23100;"Proceedings of the Japan Academy Series B: Physical and Biological Sciences";journal;"13492896, 03862208";0,898;Q1;66;27;87;2541;349;87;4,16;94,11;14,93;0;4;Japan;Asiatic Region;"Japan Academy";"1977-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Multidisciplinary (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Medicine; Multidisciplinary; Physics and Astronomy"
17;21101065105;"Fundamental Research";journal;"20969457, 26673258";0,849;Q1;23;200;323;12839;1282;289;3,97;64,20;34,55;1;70;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
18;21100938000;"Facets";journal;"23711671";0,847;Q1;25;63;232;4857;746;228;3,05;77,10;51,01;3;43;Canada;Northern America;"Canadian Science Publishing";"2017-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
19;10600153309;"PLoS ONE";journal;"19326203";0,839;Q1;435;14827;48154;735160;165901;48149;3,11;49,58;43,99;118;6657;United States;Northern America;"Public Library of Science";"2006-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
20;21100446014;"Royal Society Open Science";journal;"20545703";0,787;Q1;83;593;1855;38483;6239;1842;3,01;64,90;36,02;7;140;United Kingdom;Western Europe;"The Royal Society";"2014-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
21;21101017598;"Emerging Science Journal";journal;"26109182";0,754;Q1;28;181;289;10158;1478;289;5,58;56,12;39,69;0;78;Italy;Western Europe;"Ital Publication";"2017-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
22;21100872043;"Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil";journal;"22379622, 16794974";0,718;Q1;29;73;337;1691;715;317;1,31;23,16;65,20;0;40;Brazil;Latin America;"Secretaria de Vigilancia em Saude do Ministerio da Saude";"2016-2023";"Multidisciplinary (Q1); Epidemiology (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Multidisciplinary"
23;21101042012;"Citizen Science: Theory and Practice";journal;"20574991";0,716;Q1;15;66;107;2912;383;107;2,86;44,12;55,63;1;46;United Kingdom;Western Europe;"Ubiquity Press";"2020-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
24;19700200807;"Research in Science and Technological Education";journal;"14701138, 02635143";0,714;Q1;39;126;109;7386;310;109;2,41;58,62;52,89;3;36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2023";"Education (Q1); Multidisciplinary (Q1)";"Multidisciplinary; Social Sciences"
25;21100247071;"Science and Technology Studies";journal;"22434690";0,674;Q1;22;12;54;544;111;53;1,88;45,33;57,14;0;4;Finland;Western Europe;"Finnish Society for Science and Technology Studies";"2012-2023";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
26;28472;"Fractals";journal;"17936543, 0218348X";0,673;Q1;64;320;971;13828;3561;965;3,75;43,21;29,88;0;47;Singapore;Asiatic Region;"World Scientific";"1995-2023";"Multidisciplinary (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2)";"Mathematics; Multidisciplinary"
27;21100941752;"Advanced Theory and Simulations";journal;"25130390";0,661;Q1;39;204;530;10734;1694;526;3,03;52,62;26,46;1;55;Germany;Western Europe;"Wiley-VCH Verlag";"2018-2023";"Multidisciplinary (Q1); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics; Multidisciplinary"
28;21101140350;"Health Data Science";journal;"20971095, 27658783";0,653;Q1;8;15;37;884;107;35;2,89;58,93;36,49;0;6;United States;Northern America;"American Association for the Advancement of Science";"2021-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
29;21100411756;"Heliyon";journal;"24058440";0,617;Q1;88;10362;9327;576558;42416;9314;4,00;55,64;38,11;21;5002;Netherlands;Western Europe;"Elsevier B.V.";"2015-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
30;86891;"Journal of King Saud University - Science";journal;"10183647";0,601;Q1;63;512;1467;18539;6125;1465;4,23;36,21;32,14;1;243;Netherlands;Western Europe;"Elsevier B.V.";"1994, 2009-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
31;21100904987;"Scientific African";journal;"24682276";0,575;Q1;36;512;1155;24913;4472;1151;3,35;48,66;26,38;4;287;Netherlands;Western Europe;"Elsevier B.V.";"2018-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
32;12337;"International Journal of Bifurcation and Chaos in Applied Sciences and Engineering";journal;"17936551, 02181274";0,570;Q1;116;237;898;8780;1966;898;2,09;37,05;33,10;0;37;Singapore;Asiatic Region;"World Scientific";"1996-2023";"Multidisciplinary (Q1); Applied Mathematics (Q2); Engineering (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Engineering; Mathematics; Multidisciplinary"
33;23716;"Science, Technology and Society";journal;"09730796, 09717218";0,548;Q1;29;41;84;1708;222;78;2,20;41,66;32,47;1;23;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"1996-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
34;21100901173;"Applied Network Science";journal;"23648228";0,526;Q1;27;80;281;3646;683;281;1,67;45,58;27,73;0;21;Switzerland;Western Europe;"Springer Nature";"2016-2023";"Multidisciplinary (Q1); Computational Mathematics (Q2); Computer Networks and Communications (Q2)";"Computer Science; Mathematics; Multidisciplinary"
35;13951;"Arabian Journal for Science and Engineering";journal;"21914281, 2193567X";0,513;Q1;70;1327;2712;64008;9593;2712;3,43;48,24;23,76;0;389;Germany;Western Europe;"";"1984, 1986, 1996-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
36;25823;"Complexity";journal;"10762787, 10990526";0,445;Q1;79;151;3385;7089;7668;3372;2,22;46,95;25,05;0;46;Egypt;Africa/Middle East;"Hindawi Limited";"1995-2023";"Multidisciplinary (Q1); Computer Science (miscellaneous) (Q2)";"Computer Science; Multidisciplinary"
37;23030;"Journal of the Royal Society of New Zealand";journal;"03036758";0,443;Q1;45;60;135;3650;276;123;2,15;60,83;48,89;1;26;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
38;23697;"Science Progress";journal;"20477163, 00368504";0,434;Q1;44;176;683;7685;1625;676;2,50;43,66;32,81;0;65;United Kingdom;Western Europe;"SAGE Publications Ltd";"1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
39;21101126971;"Sci";journal;"24134155";0,429;Q1;13;45;128;2269;361;121;2,91;50,42;32,03;0;17;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
40;21100235612;"International Journal of Technology";journal;"20869614, 20872100";0,427;Q1;25;170;479;4639;907;477;1,67;27,29;38,72;0;76;Indonesia;Asiatic Region;"Faculty of Engineering, Universitas Indonesia";"2010-2023";"Multidisciplinary (Q1); Engineering (miscellaneous) (Q2); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Engineering; Multidisciplinary"
41;21101092536;"Chaos Theory and Applications";journal;"26874539";0,420;Q1;11;32;58;1222;144;56;2,29;38,19;22,22;0;6;Turkey;Middle East;"Akif AKGUL";"2019-2023";"Multidisciplinary (Q1); Electrical and Electronic Engineering (Q2); Engineering (miscellaneous) (Q2); Mechanical Engineering (Q2); Biomedical Engineering (Q3)";"Engineering; Multidisciplinary"
42;21100908534;"Tapuya: Latin American Science, Technology and Society";journal;"25729861";0,417;Q1;11;43;105;1919;135;80;1,20;44,63;56,14;0;13;United States;Northern America;"Routledge";"2018-2023";"Multidisciplinary (Q1); Social Sciences (miscellaneous) (Q2)";"Multidisciplinary; Social Sciences"
43;17700156015;"Journal of dance medicine &amp; science : official publication of the International Association for Dance Medicine &amp; Science";journal;"1089313X, 23748060";0,401;Q2;39;28;82;963;106;82;1,24;34,39;66,96;0;3;United States;Northern America;"Sage Publications";"2002-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
44;22447;"Journal of the Indian Institute of Science";journal;"00194964, 09704140";0,401;Q2;38;77;192;5760;464;166;1,78;74,81;37,37;0;31;India;Asiatic Region;"Indian Institute of Science";"1974, 1976-1978, 1983-1984, 1988, 1995-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
45;27733;"Latin American Research Review";journal;"00238791, 15424278";0,386;Q2;54;61;157;3135;126;148;0,61;51,39;33,71;0;25;United States;Northern America;"Cambridge University Press";"1965-2023";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Multidisciplinary (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Multidisciplinary; Social Sciences"
46;21101171778;"Ianna Journal of Interdisciplinary Studies";journal;"27359891, 27359883";0,374;Q2;9;20;37;553;69;36;1,21;27,65;41,18;0;11;Nigeria;Africa;"University of Nigeria Department of Mass Communication";"2019-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
47;19700173166;"Acta Polytechnica Hungarica";journal;"17858860";0,368;Q2;42;128;410;4121;1133;395;3,21;32,20;26,43;0;52;Hungary;Eastern Europe;"Obuda University";"2004-2023";"Engineering (miscellaneous) (Q2); Multidisciplinary (Q2)";"Engineering; Multidisciplinary"
48;21101100111;"European Journal of STEM Education";journal;"24684368";0,365;Q2;8;9;37;462;67;37;1,56;51,33;70,83;0;1;Netherlands;Western Europe;"Lectito";"2019-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
49;23531;"Sadhana - Academy Proceedings in Engineering Sciences";journal;"09737677, 02562499";0,343;Q2;59;285;812;10618;1591;780;1,86;37,26;21,29;0;61;India;Asiatic Region;"Springer India";"1984-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
50;5600155094;"Perspectives on Science";journal;"10636145, 15309274";0,333;Q2;28;28;90;1834;75;85;0,72;65,50;30,95;0;1;United States;Northern America;"MIT Press Journals";"1999-2023";"History and Philosophy of Science (Q2); Multidisciplinary (Q2)";"Arts and Humanities; Multidisciplinary"
51;21101061448;"AAS Open Research";journal;"25159321";0,330;Q2;6;0;24;0;30;22;2,20;0,00;0,00;0;0;United Kingdom;Western Europe;"F1000 Research Ltd";"2018-2021";"Multidisciplinary (Q2)";"Multidisciplinary"
52;23516;"Journal of the Royal Society of Western Australia";journal;"0035922X";0,321;Q2;29;3;32;195;35;29;0,88;65,00;25,00;0;1;Australia;Pacific Region;"Royal Society of Western Australia Inc.";"1981, 1983-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
53;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";0,316;Q2;73;368;1264;17656;1684;1215;1,13;47,98;45,01;0;112;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
54;84932;"Kexue Tongbao/Chinese Science Bulletin";journal;"0023074X, 20959419";0,298;Q2;43;497;1328;25908;2042;1321;1,36;52,13;34,96;0;200;China;Asiatic Region;"Science China Press";"1963-1964, 1980-1984, 1989, 2015-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
55;21100440523;"Interaction Design and Architecture(s)";journal;"18269745, 22832998";0,295;Q2;19;21;120;896;148;120;1,08;42,67;37,50;0;4;Italy;Western Europe;"ASLERD";"2007, 2011-2023";"Architecture (Q2); Media Technology (Q2); Multidisciplinary (Q2); Social Sciences (miscellaneous) (Q2); Computer Science Applications (Q3); Education (Q3); Pharmacology (Q3); Human-Computer Interaction (Q4)";"Computer Science; Engineering; Multidisciplinary; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
56;22963;"Interdisciplinary Science Reviews";journal;"03080188, 17432790";0,293;Q2;30;50;110;2257;170;101;1,40;45,14;41,33;1;6;United Kingdom;Western Europe;"SAGE Publications Inc.";"1976-2023";"History and Philosophy of Science (Q2); Multidisciplinary (Q2); Social Sciences (miscellaneous) (Q2)";"Arts and Humanities; Multidisciplinary; Social Sciences"
57;83082;"Historia Agraria";journal;"11391472";0,289;Q2;20;25;77;1628;49;76;0,56;65,12;23,26;0;9;Spain;Western Europe;"Universitat Autonoma de Barcelona";"1998-2023";"History (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Arts and Humanities (miscellaneous) (Q2); Multidisciplinary (Q2); Geography, Planning and Development (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Multidisciplinary; Social Sciences"
58;21101120611;"Open Research Europe";journal;"27325121";0,280;Q2;9;111;172;4857;240;172;1,40;43,76;39,20;0;51;United Kingdom;Western Europe;"F1000 Research Ltd";"2021-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
59;21100394266;"International Journal of Agile Systems and Management";journal;"17419174, 17419182";0,279;Q2;27;20;64;1454;119;64;1,36;72,70;36,54;0;8;Switzerland;Western Europe;"Inderscience";"2006-2009, 2011-2023";"Multidisciplinary (Q2); Computer Science (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Management Information Systems (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
60;26207;"Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University";journal;"02582724";0,277;Q2;26;177;502;4680;461;502;0,97;26,44;32,33;0;40;China;Asiatic Region;"Science China Press";"1991, 1998, 2001-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
61;21101119543;"Journal of Advanced Research in Applied Sciences and Engineering Technology";journal;"24621943";0,271;Q2;11;356;175;12364;330;175;1,71;34,73;39,98;0;146;Malaysia;Asiatic Region;"Semarak Ilmu Publishing";"2019-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
62;21100897136;"Karbala International Journal of Modern Science";journal;"24056103, 2405609X";0,271;Q2;29;63;152;3098;275;152;1,78;49,17;39,80;0;27;Iraq;Middle East;"University of Kerbala";"2015-2023";"Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Multidisciplinary; Physics and Astronomy"
63;21101117185;"Gateways";journal;"18363393";0,268;Q2;5;21;44;703;35;41;0,81;33,48;72,94;0;15;Australia;Pacific Region;"UTS ePRESS";"2019-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
64;21100896466;"International Journal of Service Science, Management, Engineering, and Technology";journal;"19479603, 1947959X";0,264;Q2;19;11;137;1064;249;137;1,79;96,73;36,11;0;2;United States;Northern America;"IGI Global Publishing";"2014, 2017-2023";"Multidisciplinary (Q2); Business, Management and Accounting (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3)";"Business, Management and Accounting; Computer Science; Engineering; Multidisciplinary"
65;21101034114;"Journal of Applied Science and Engineering (Taiwan)";journal;"27089975, 27089967";0,264;Q2;32;213;328;5935;451;328;1,47;27,86;31,50;0;59;Taiwan;Asiatic Region;"Tamkang University";"2021-2024";"Multidisciplinary (Q2); Engineering (miscellaneous) (Q3)";"Engineering; Multidisciplinary"
66;4000151817;"ScienceAsia";journal;"15131874";0,264;Q2;44;120;350;3728;362;348;0,99;31,07;43,99;0;35;Thailand;Asiatic Region;"Science Society of Thailand under Royal Patronage";"1996-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
67;17294;"Defence Science Journal";journal;"0011748X, 0976464X";0,259;Q2;40;78;291;2048;326;288;1,01;26,26;18,40;0;11;India;Asiatic Region;"Defense Scientific Information and Documentation Centre";"1970-1989, 1991-2023";"Multidisciplinary (Q2); Chemical Engineering (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Physics and Astronomy (miscellaneous) (Q3); Biomedical Engineering (Q4); Computer Science Applications (Q4)";"Chemical Engineering; Computer Science; Engineering; Multidisciplinary; Physics and Astronomy"
68;6500153124;"Theology and Science";journal;"14746719, 14746700";0,259;Q2;15;61;120;234;62;104;0,51;3,84;15,38;0;1;United Kingdom;Western Europe;"Routledge";"2003-2023";"Religious Studies (Q1); History and Philosophy of Science (Q2); Multidisciplinary (Q2)";"Arts and Humanities; Multidisciplinary"
69;145055;"Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition";journal;"1673064X";0,251;Q2;17;18;305;512;159;305;0,53;28,44;36,47;0;3;China;Asiatic Region;"Xi'an Petroleum Institute";"2005-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
70;145331;"Brazilian Archives of Biology and Technology";journal;"15168913";0,250;Q2;64;172;477;6703;587;477;1,03;38,97;45,10;0;50;Brazil;Latin America;"Instituto de Tecnologia do Parana";"1998-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
71;22386;"Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences";journal;"16742974";0,248;Q2;20;248;707;5907;589;707;0,83;23,82;29,80;0;30;China;Asiatic Region;"Hunan University";"1992-1993, 1996, 2001-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
72;5800207553;"Linguistics in the Netherlands";journal;"09297332";0,246;Q2;17;20;41;490;10;39;0,24;24,50;61,02;0;1;Netherlands;Western Europe;"John Benjamins Publishing Company";"1996-2022";"Linguistics and Language (Q2); Multidisciplinary (Q2); Health Professions (miscellaneous) (Q3); Psychology (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Health Professions; Multidisciplinary; Psychology; Social Sciences"
73;22251;"Pacific Science";journal;"15346188, 00308870";0,241;Q2;46;21;74;1171;58;74;0,76;55,76;32,43;0;9;United States;Northern America;"University of Hawaii Press";"1979-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
74;20699;"Current Science";journal;"00113891";0,240;Q2;137;378;1542;10737;1199;1379;0,73;28,40;30,67;0;153;India;Asiatic Region;"Indian Academy of Sciences";"1945-1951, 1973-1989, 1993-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
75;1300147101;"Foundations of Science";journal;"12331821";0,231;Q2;30;92;232;4896;185;188;0,69;53,22;20,97;0;5;Netherlands;Western Europe;"Springer Netherlands";"1995, 1997-2002, 2005-2023";"History and Philosophy of Science (Q2); Multidisciplinary (Q2)";"Arts and Humanities; Multidisciplinary"
76;21100324700;"Kuwait Journal of Science";journal;"23074108, 23074116";0,231;Q2;20;195;258;6228;338;258;1,30;31,94;31,62;0;49;Kuwait;Middle East;"Elsevier B.V.";"2013-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
77;145728;"Journal of Shanghai Jiaotong University (Science)";journal;"10071172";0,227;Q2;23;182;359;5240;328;357;0,76;28,79;29,25;0;29;China;Asiatic Region;"Shanghai Jiaotong University";"2005-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
78;18761;"Advances in Complex Systems";journal;"02195259, 17936802";0,224;Q2;38;17;73;919;53;71;0,71;54,06;16,67;0;3;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2004-2023";"Multidisciplinary (Q2); Control and Systems Engineering (Q4)";"Engineering; Multidisciplinary"
79;145365;"Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition)";journal;"16715497";0,224;Q2;23;372;865;8771;743;865;0,88;23,58;31,97;0;67;China;Asiatic Region;"Editorial Board of Jilin University";"2005-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
80;5000157301;"Transactions of the Royal Society of South Africa";journal;"0035919X, 21540098";0,224;Q2;29;20;73;1558;86;73;1,04;77,90;27,27;0;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1909-1910, 1913-1915, 1917-1919, 1921-1926, 1928-1940, 1942-1943, 1945-1949, 1951, 1954-1964, 1967-1972, 1974-1990, 1992-2023";"Multidisciplinary (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Medicine (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science; Medicine; Multidisciplinary"
81;25490;"Tongji Daxue Xuebao/Journal of Tongji University";journal;"0253374X";0,222;Q2;36;215;656;5182;478;656;0,69;24,10;34,09;0;47;China;Asiatic Region;"Science China Press";"1999-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
82;7700153224;"Sains Malaysiana";journal;"01266039";0,216;Q2;43;257;970;11014;941;970;0,84;42,86;43,58;0;107;Malaysia;Asiatic Region;"Penerbit Universiti Kebangsaan Malaysia";"2006-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
83;14038;"Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University";journal;"10062467";0,213;Q2;25;189;594;4224;500;594;0,85;22,35;31,42;0;43;China;Asiatic Region;"Shanghai Jiaotong University";"1988, 1998-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
84;17700155802;"Gazi University Journal of Science";journal;"21471762, 13039709";0,211;Q3;22;120;270;4393;288;270;1,05;36,61;34,40;0;31;Turkey;Middle East;"Gazi Universitesi";"2009-2023";"Engineering (miscellaneous) (Q3); Multidisciplinary (Q3)";"Engineering; Multidisciplinary"
85;21101166819;"Natural Resources for Human Health";journal;"25831194";0,211;Q2;5;44;69;2545;85;68;1,23;57,84;36,69;0;18;India;Asiatic Region;"Visagaa Publishing House";"2021-2023";"Multidisciplinary (Q2)";"Multidisciplinary"
86;23649;"Journal of Scientific and Industrial Research";journal;"09751084, 00224456";0,210;Q3;63;129;449;4015;460;449;1,23;31,12;28,47;0;49;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"1969-1970, 1972-1978, 1980, 1982-1991, 1994-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
87;19700175755;"Advances in Systems Science and Applications";journal;"10786236";0,208;Q3;15;51;135;1340;110;135;0,87;26,27;32,05;0;12;United States;Northern America;"International Institute for General Systems Studies";"2009-2023";"Engineering (miscellaneous) (Q3); Multidisciplinary (Q3)";"Engineering; Multidisciplinary"
88;21100372856;"Data in Brief";journal;"23523409";0,208;Q3;52;968;3853;10435;5608;6;1,29;10,78;0,00;2;393;United States;Northern America;"Elsevier Inc.";"2014-2023";"Education (Q3); Multidisciplinary (Q3)";"Multidisciplinary; Social Sciences"
89;21100256950;"Movement and Sports Sciences - Science et Motricite";journal;"21185735, 21185743";0,206;Q3;16;27;80;1500;47;75;0,36;55,56;33,33;0;2;France;Western Europe;"EDP Sciences";"2010-2023";"Multidisciplinary (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Social Sciences (miscellaneous) (Q3); Neuropsychology and Physiological Psychology (Q4); Orthopedics and Sports Medicine (Q4); Physiology (Q4); Physiology (medical) (Q4); Psychology (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Multidisciplinary; Psychology; Social Sciences"
90;75573;"Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology";journal;"04932137";0,204;Q3;23;137;458;3257;307;458;0,68;23,77;32,24;0;27;China;Asiatic Region;"Tianjin Daxue/Tianjin University";"1982-1988, 2003-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
91;21101057630;"International Journal of Innovative Research and Scientific Studies";journal;"26176548";0,203;Q3;10;100;101;4413;134;101;1,62;44,13;39,92;0;51;United States;Northern America;"Innovative Research Publishing";"2018-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
92;21100902661;"Acta Scientiae";journal;"15174492, 21787727";0,201;Q3;6;59;202;2405;77;202;0,35;40,76;40,98;0;13;Brazil;Latin America;"Lutheran University of Brazil";"2018-2023";"Multidisciplinary (Q3); Education (Q4)";"Multidisciplinary; Social Sciences"
93;21100199522;"Bulletin of the Georgian National Academy of Sciences";journal;"01321447";0,198;Q3;14;105;269;1367;73;261;0,28;13,02;40,47;0;25;Georgia;Eastern Europe;"Georgian National Academy of Sciences";"2011-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
94;24843;"Bulletin de la Societe Royale des Sciences de Liege";journal;"00379565, 17835720";0,196;Q3;13;24;50;715;29;49;0,38;29,79;20,97;0;2;Belgium;Western Europe;"Societe Royale des Sciences de Liege";"1988, 1996-2022";"Multidisciplinary (Q3)";"Multidisciplinary"
95;21101104475;"Experimental Results";journal;"2516712X";0,195;Q3;5;19;119;489;95;119;0,74;25,74;42,65;0;6;United Kingdom;Western Europe;"Cambridge University Press";"2020-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
96;19400157273;"European Journal of Science and Theology";journal;"18410464, 18428517";0,193;Q3;23;59;238;1999;102;236;0,47;33,88;33,94;0;14;Romania;Eastern Europe;"ACAD Organisation";"2008-2023";"Religious Studies (Q1); Engineering (miscellaneous) (Q3); History and Philosophy of Science (Q3); Multidisciplinary (Q3)";"Arts and Humanities; Engineering; Multidisciplinary"
97;5700165172;"World Review of Science, Technology and Sustainable Development";journal;"17412242, 17412234";0,193;Q3;18;14;89;654;77;82;0,91;46,71;37,14;0;7;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2010, 2012-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
98;19700175735;"Philippine Journal of Science";journal;"00317683";0,190;Q3;21;194;580;7511;402;557;0,69;38,72;51,22;0;90;Philippines;Asiatic Region;"Department of Science and Technology";"1979, 1982-1983, 1986-1988, 2009-2023";"Multidisciplinary (Q3); Social Sciences (miscellaneous) (Q3)";"Multidisciplinary; Social Sciences"
99;21101068817;"Trends in Sciences";journal;"27740226";0,190;Q3;22;255;756;9876;618;756;0,82;38,73;46,46;0;88;Thailand;Asiatic Region;"Walailak University";"2021-2023";"Multidisciplinary (Q3)";"Multidisciplinary"
